小区,户型,面积,价格,单价,朝向,位置,地铁
宋都东郡之星,3室2厅1厨2卫,89.55㎡,225,25126元/平米,南 北,钱塘新区 大学城北 ,
临水路78-86号,3室1厅1厨1卫,58㎡,81,13966元/平米,南 北,临安 临安 ,
湖山帝景湾南苑,3室2厅1厨2卫,107㎡,263,24580元/平米,南,余杭 未来科技城 ,
钱江七苑,1室1厅1厨1卫,51.04㎡,320,62696元/平米,南,江干 钱江新城 ,近地铁4号线景芳站
朝晖四区,2室0厅1厨1卫,47.49㎡,192,40430元/平米,南,下城 朝晖 ,近1号线(临平-湘湖)打铁关站
星桥桂花城,2室2厅1厨1卫,85.09㎡,197,23152元/平米,南,余杭 星桥 ,
东方君悦,1室1厅1厨1卫,91.98㎡,380,41314元/平米,西南,江干 钱江新城 ,
通济路1-12号,2室2厅1厨1卫,65.79㎡,160,24320元/平米,南,余杭 未来科技城 ,
花园南村,2室1厅1厨1卫,52.62㎡,385,73167元/平米,南,西湖 文教 ,近地铁2号线学院路站
华艺星座,2室2厅1厨1卫,80.36㎡,180,22400元/平米,南 北,余杭 星桥 ,
招商雍华府,2室2厅1厨1卫,69.37㎡,308,44400元/平米,南,江干 九堡 ,
登云阁,1室1厅1厨1卫,37.97㎡,150,39505元/平米,南,拱墅 拱宸桥 ,
嘉凯城名城博园,2室1厅1厨1卫,58.48㎡,162,27702元/平米,南 北,余杭 勾庄 ,
广大融城印象,2室2厅1厨1卫,83㎡,260,31326元/平米,南 北,江干 丁桥 ,
过军桥河下,2室1厅1厨1卫,56.08㎡,248,44223元/平米,南,上城 鼓楼 ,
保利东湾,2室1厅1厨1卫,60.52㎡,176,29082元/平米,南,钱塘新区 沿江南 ,
钱塘帝景,2室2厅1厨1卫,87㎡,470,54023元/平米,南,滨江 彩虹城 ,
皮市巷,2室1厅1厨1卫,49.8㎡,220,44177元/平米,南,上城 清泰 ,近地铁2号线中河北路站
萧绍路1523号,2室1厅1厨1卫,57.86㎡,150,25925元/平米,南,萧山 萧山市区 ,近地铁2号线人民路站
采荷小区紫藕邨,2室1厅1厨1卫,39.32㎡,260,66125元/平米,南,江干 采荷 ,近地铁2号线庆菱路站
维元弄,1室1厅1厨1卫,53.8㎡,210,39034元/平米,南,拱墅 湖墅 ,近地铁2号线沈塘桥站
红垦小区,2室1厅1厨1卫,56㎡,140,25000元/平米,南,萧山 萧山开发区 ,
翠苑一区,2室1厅1厨1卫,49.59㎡,235,47389元/平米,南,西湖 翠苑 ,近地铁2号线学院路站
梅堰小区,2室1厅1厨1卫,55.1㎡,118,21416元/平米,南,余杭 临平 ,
仙家路,2室2厅1厨1卫,72.6㎡,155,21350元/平米,东,萧山 萧山市区 ,近地铁2号线人民路站
星运丽园兰逸,2室1厅1厨1卫,86.39㎡,185,21415元/平米,南,余杭 星桥 ,
南苑一区,2室2厅1厨1卫,70.98㎡,150,21133元/平米,南,余杭 临平 ,近1号线(临平-湘湖)临平站
景芳二区,2室1厅1厨1卫,54.08㎡,230,42530元/平米,南,江干 景芳 ,近地铁4号线景芳站
都市阳光华苑,2室1厅1厨1卫,62㎡,177,28549元/平米,南,西湖 良渚 ,
东安景苑,2室1厅1厨1卫,82㎡,165,20122元/平米,北 南,余杭 临平 ,
龙湖滟澜山澜轩,1室1厅1厨1卫,59㎡,220,37289元/平米,东,钱塘新区 金沙湖 ,近1号线(下沙江滨-湘湖)金沙湖站
景芳一区,2室1厅1厨1卫,52.98㎡,218,41148元/平米,南,江干 景芳 ,近地铁4号线景芳站
凤凰南苑,1室1厅1厨1卫,55.25㎡,230,41629元/平米,南,上城 南星 ,近地铁4号线南星桥站
新风丽都北苑,2室1厅1厨1卫,60.9㎡,230,37767元/平米,东南,江干 火车东站 ,近地铁4号线新风站
都市阳光和苑,2室2厅1厨1卫,62㎡,188,30323元/平米,南,西湖 良渚 ,
翠苑二区,2室0厅1厨1卫,44.72㎡,192,42934元/平米,南,西湖 翠苑 ,近地铁2号线学院路站
康庭和苑,2室2厅1厨1卫,82.23㎡,135,16418元/平米,西 南 北,余杭 塘栖 ,
新工新村,1室1厅1厨1卫,34.65㎡,185,53392元/平米,南,上城 雄镇楼 ,近地铁4号线南星桥站
超级星期天,1室0厅1厨1卫,36.91㎡,64,17340元/平米,北,滨江 浦沿 ,
盛世嘉园,1室0厅1厨1卫,38.9㎡,90,23137元/平米,北,余杭 闲林 ,
通和都市枫林,5室2厅1厨2卫,135.64㎡,436,32144元/平米,南,下城 石桥 ,
德信早城,3室2厅1厨2卫,87.39㎡,420,48061元/平米,南 北,钱塘新区 金沙湖 ,近1号线(下沙江滨-湘湖)金沙湖站
东港嘉苑三区,1室1厅1厨1卫,48.25㎡,160,33161元/平米,南,江干 火车东站 ,
阳光银泰城,2室1厅1厨1卫,55.17㎡,130,23564元/平米,西,下城 三塘 ,
双菱新村,2室1厅1厨1卫,47.36㎡,260,54899元/平米,南 北,江干 采荷 ,近地铁2号线庆菱路站
太平家园,3室2厅1厨2卫,121㎡,180,14877元/平米,南,余杭 星桥 ,
绿城桃源小镇,4室2厅1厨2卫,136㎡,285,20956元/平米,南 北,余杭 闲林 ,
朗诗花漫里,3室2厅1厨1卫,84.97㎡,310,36484元/平米,南 北,余杭 乔司 ,近1号线(临平-湘湖)乔司站
德圣博奥城,2室1厅1厨1卫,76.63㎡,318,41499元/平米,南,萧山 萧山新城区 ,
彩虹城,3室2厅1厨2卫,149㎡,700,46980元/平米,南,滨江 彩虹城 ,近地铁4号线联庄站
嘉绿西苑,4室2厅1厨1卫,117.5㎡,575,48937元/平米,南,西湖 嘉绿 ,近地铁2号线丰潭路站
水印康庭,3室2厅1厨2卫,139.05㎡,418,30062元/平米,南,下城 三塘 ,
宋都东郡之星,3室2厅1厨2卫,89.09㎡,208,23348元/平米,南,钱塘新区 大学城北 ,
景芳新五区,2室1厅1厨1卫,64.4㎡,260,40373元/平米,南,江干 景芳 ,近地铁4号线景芳站
龙湖滟澜山澜轩,2室1厅1厨1卫,60㎡,220,36667元/平米,东 西,钱塘新区 金沙湖 ,近1号线(下沙江滨-湘湖)金沙湖站
玺之湾,3室2厅1厨2卫,134㎡,370,27612元/平米,东,江干 丁桥 ,
滨江江南之星,3室2厅1厨2卫,89㎡,360,40450元/平米,南,萧山 萧山新城区 ,
麒麟街小区,3室1厅1厨1卫,79.55㎡,456,57323元/平米,南,下城 众安桥 ,
德信东望,3室2厅1厨2卫,89㎡,360,40450元/平米,南,江干 城东新城 ,近1号线(临平-湘湖)彭埠站
滨江华家池,3室2厅1厨2卫,135㎡,930,68889元/平米,南 西 北,江干 华家池 ,
合景天峻,3室2厅1厨2卫,89.61㎡,370,41291元/平米,南 北,余杭 未来科技城 ,
盛世嘉园,3室2厅1厨2卫,123㎡,270,21952元/平米,南 北,余杭 闲林 ,
得力名望府,3室2厅1厨2卫,89.21㎡,235,26343元/平米,南,萧山 萧山开发区 ,
大营盘,3室1厅1厨1卫,94.08㎡,350,37203元/平米,南,下城 体育场路 ,近地铁2号线建国北路站
后珠辰秀嘉园南区,3室2厅1厨1卫,93㎡,210,22581元/平米,南,江干 丁桥 ,
时代长岛之春,3室2厅1厨2卫,115.89㎡,340,29339元/平米,南 北,滨江 浦沿 ,
翠苑四区,2室1厅1厨1卫,52.5㎡,205,39048元/平米,南,西湖 翠苑 ,近地铁2号线古翠路站
望江新丰苑,3室2厅1厨2卫,116.02㎡,499,43010元/平米,南,上城 四季青 ,近1号线(临平-湘湖)婺江路站
三水一生,3室2厅1厨2卫,127.7㎡,245,19186元/平米,南 北,萧山 义桥 ,
望江府,4室2厅1厨3卫,183.47㎡,1470,80123元/平米,南,上城 南星 ,近地铁4号线甬江路站
万科杭宸,3室2厅1厨2卫,109.09㎡,405,37126元/平米,南 北,余杭 勾庄 ,
小河佳苑,2室1厅1厨1卫,69.08㎡,240,34743元/平米,南,拱墅 和睦 ,
龙湖春江彼岸,3室2厅1厨1卫,89㎡,470,52809元/平米,南,滨江 奥体 ,
清水弄,2室1厅1厨1卫,84.07㎡,140,16653元/平米,南,余杭 临平 ,
瑞立中央花城,3室2厅1厨2卫,139.13㎡,705,50673元/平米,南,滨江 滨江区政府 ,近1号线(临平-湘湖)滨和路站
江虹小区,3室2厅1厨2卫,121.89㎡,448,36755元/平米,南,滨江 长河 ,
朗诗国际街区,3室2厅1厨2卫,138㎡,402.8,29189元/平米,东南,钱塘新区 沿江北 ,近1号线(下沙江滨-湘湖)云水站
春江花月,3室2厅1厨2卫,149.73㎡,870,58105元/平米,东南,上城 南星 ,近地铁4号线南星桥站
野风海天城,3室2厅1厨2卫,130㎡,323,24847元/平米,南 北,钱塘新区 沿江北 ,近1号线(下沙江滨-湘湖)云水站
爵士风情花园,3室2厅1厨2卫,115.28㎡,240,20819元/平米,南,余杭 闲林 ,
树兰书香名邸,3室2厅1厨2卫,90.18㎡,150,16634元/平米,南,余杭 临平 ,
融创大家侯潮府,3室2厅1厨2卫,116.78㎡,1060,90769元/平米,南,上城 南星 ,
景瑞御华府,3室2厅1厨1卫,88.5㎡,195,22034元/平米,南,余杭 临平 ,
万科良渚文化村秋荷坊,3室2厅1厨2卫,139.16㎡,430,30900元/平米,南,余杭 良渚 ,
欣景苑,3室2厅1厨2卫,114㎡,365,32018元/平米,南,下城 三塘 ,
金地艺境,3室2厅1厨2卫,85.86㎡,235,27371元/平米,南,余杭 乔司 ,
广厦天都城天湖苑,3室2厅1厨2卫,127.3㎡,240,18854元/平米,南,余杭 星桥 ,
复地连城国际,2室2厅1厨1卫,87.31㎡,225,25771元/平米,南,余杭 乔司 ,
东海闲湖城印象加州,3室1厅1厨1卫,88.18㎡,235,26651元/平米,南 北,余杭 闲林 ,
宋都晨光国际,4室2厅1厨3卫,151.9㎡,475,31271元/平米,南,钱塘新区 沿江南 ,
中粮云涛名苑,3室2厅1厨1卫,87.68㎡,260,29654元/平米,南,萧山 闻堰 ,
华瑞晴庐,3室1厅1厨2卫,87.02㎡,315,36199元/平米,南,萧山 萧山新城区 ,
南都花园二区,3室2厅1厨1卫,85.25㎡,355,41643元/平米,南 北,西湖 文一西路 ,近地铁2号线文新站
云溪印象,3室2厅1厨2卫,70㎡,160,22858元/平米,南,西湖 转塘 ,
万科西庐一期,3室2厅1厨1卫,89㎡,535,60113元/平米,南,西湖 西溪 ,
新城香悦奥府,4室2厅1厨2卫,129㎡,435,33721元/平米,南,萧山 萧山新城区 ,
人和家园,2室1厅1厨1卫,83.06㎡,215,25885元/平米,南,西湖 留下 ,
水陆寺巷,2室1厅1厨1卫,51.59㎡,253,49041元/平米,南,下城 长庆 ,近地铁2号线中河北路站
绿城桃源小镇,3室2厅1厨1卫,89.9㎡,202,22470元/平米,南 北,余杭 闲林 ,
崇化住宅区,3室1厅1厨1卫,73.3㎡,173,23602元/平米,南,萧山 萧山市区 ,
惠都家园,3室1厅1厨1卫,84.95㎡,184.8,21754元/平米,南,余杭 星桥 ,
世茂江滨花园峻景湾,2室2厅1厨1卫,89㎡,240,26967元/平米,南,钱塘新区 沿江南 ,
顺发吉祥半岛,3室2厅1厨2卫,85.4㎡,465,54450元/平米,南,拱墅 桥西 ,
润和西溪郡,3室2厅1厨1卫,89.28㎡,269,30130元/平米,南 北,余杭 闲林 ,
流水苑,3室1厅1厨1卫,80.29㎡,310,38611元/平米,南,下城 流水苑 ,近1号线(临平-湘湖)打铁关站
三塘兰园,2室1厅1厨1卫,75.26㎡,260,34547元/平米,南,下城 三塘 ,
滨江万家名城,3室1厅1厨2卫,89.7㎡,320,35675元/平米,南 北,余杭 万达广场 ,
东南钱江蓝湾,4室2厅1厨2卫,129.22㎡,350,27086元/平米,南,萧山 萧山开发区 ,
西溪路22-97号,2室1厅1厨1卫,53.71㎡,316,58835元/平米,南,西湖 黄龙 ,
世茂天宸,2室1厅1厨2卫,88.85㎡,520,58526元/平米,南,江干 华家池 ,
景瑞御华府,3室1厅1厨2卫,87.94㎡,186,21151元/平米,南,余杭 临平 ,
宝盛世纪中心,1室0厅1厨1卫,48.67㎡,122,25067元/平米,北,萧山 奥体 ,近地铁2号线钱江世纪城站
南班巷,1室0厅1厨1卫,32.84㎡,145,44154元/平米,南,上城 清泰 ,近1号线(临平-湘湖)城站站
龙禧硅谷酒店广场,1室1厅1厨1卫,51.92㎡,91,17527元/平米,南,滨江 彩虹城 ,近地铁4号线联庄站
景江城市花园,1室1厅1厨1卫,42.48㎡,117,27543元/平米,西南,上城 近江 ,近1号线(临平-湘湖)近江站
大关西五苑,2室1厅1厨1卫,55.87㎡,203,36335元/平米,南,拱墅 大关 ,
原筑壹号,2室1厅1厨1卫,74.86㎡,96,12824元/平米,南,江干 笕桥 ,
东裕华庭,2室2厅1厨1卫,75.77㎡,102,13462元/平米,东南,钱塘新区 大江东 ,
康庭和苑,2室1厅1厨1卫,71.8㎡,115,16017元/平米,南,余杭 塘栖 ,
瑞浩珺公馆,2室2厅1厨2卫,46.43㎡,117,25200元/平米,南,拱墅 桥西 ,
经纬美耀湾,2室2厅1厨1卫,83㎡,190,22892元/平米,南,余杭 星桥 ,
绿城蓝庭东区,2室1厅1厨1卫,92.89㎡,205,22070元/平米,南,余杭 临平 ,
莫干新村,2室1厅1厨1卫,57.72㎡,238,41234元/平米,南,拱墅 湖墅 ,近地铁2号线沈塘桥站
西城时代家园,2室2厅1厨1卫,88.18㎡,220,24949元/平米,东南,余杭 未来科技城 ,
紫兰花苑,3室2厅1厨2卫,105.31㎡,150,14244元/平米,南,余杭 临平 ,
顺达花苑东区,2室2厅1厨1卫,81.09㎡,140,17265元/平米,南,余杭 临平 ,
西溪诚园致诚苑,3室2厅1厨1卫,88.45㎡,580,65574元/平米,南,西湖 西溪 ,
之江九里,3室1厅1厨1卫,82.51㎡,360,43632元/平米,东 南 北,西湖 之江 ,
中国铁建青秀城,3室2厅1厨2卫,88.48㎡,385,43513元/平米,南,萧山 萧山新城区 ,
白金海岸,3室2厅1厨2卫,118.37㎡,580,48999元/平米,南 北,滨江 长河 ,
长征桥路48弄,1室1厅1厨1卫,35.55㎡,140,39382元/平米,南,拱墅 和睦 ,
金都西花庭,2室2厅1厨1卫,83.3㎡,245,29412元/平米,南,余杭 未来科技城 ,
西溪蝶园二期,1室1厅1厨1卫,69㎡,345,50000元/平米,南,西湖 西溪 ,
世茂江滨花园峻景湾,4室2厅1厨2卫,134.55㎡,370,27500元/平米,南 北,钱塘新区 沿江南 ,
绿城莲园,3室2厅1厨1卫,88.98㎡,235,26411元/平米,南,余杭 临平 ,
保利东湾,2室2厅1厨1卫,88.87㎡,238,26781元/平米,南 北,钱塘新区 沿江南 ,
城发云锦城,3室2厅1厨2卫,88.22㎡,238,26979元/平米,南 北,江干 丁桥 ,
名门天第,1室0厅1厨1卫,41.99㎡,79.9,19029元/平米,东南,余杭 临平 ,
天园阁,3室1厅1厨1卫,80.56㎡,310,38481元/平米,南,下城 建国北路 ,近地铁2号线建国北路站
新城香悦奥府,3室1厅1厨2卫,86.44㎡,308,35632元/平米,南,萧山 萧山新城区 ,
碧桂园珑悦,4室1厅1厨2卫,138.88㎡,675,48604元/平米,南,萧山 钱江世纪城 ,
众安学君里,3室2厅1厨2卫,119.56㎡,219,18318元/平米,南 北,余杭 闲林 ,
平安居,1室1厅1厨1卫,43.4㎡,265,61060元/平米,西,下城 天水 ,近地铁2号线中河北路站
景芳二区,1室1厅1厨1卫,38.47㎡,162,42111元/平米,南,江干 景芳 ,近地铁4号线景芳站
金隆花园,1室1厅1厨1卫,37.35㎡,155,41500元/平米,南,上城 城站 ,近1号线(临平-湘湖)城站站
恒厚阳光城,2室2厅1厨1卫,88.32㎡,220,24910元/平米,南,余杭 闲林 ,
秋涛南苑,1室1厅1厨1卫,29.72㎡,190,63931元/平米,南,上城 南星 ,近地铁4号线南星桥站
米市巷,1室1厅1厨1卫,37.25㎡,150,40269元/平米,南,拱墅 湖墅 ,近地铁2号线沈塘桥站
元成时代中心,2室1厅1厨1卫,43.04㎡,80,18588元/平米,北,钱塘新区 工业园北 ,
都市水乡水月苑,2室1厅1厨1卫,80.39㎡,248,30850元/平米,南,拱墅 三墩 ,近地铁2号线三墩站
物华小区,2室1厅1厨1卫,86.16㎡,305,35400元/平米,南,西湖 嘉绿 ,近地铁2号线丰潭路站
华顺公寓,2室2厅1厨1卫,69.44㎡,173,24914元/平米,南 北,钱塘新区 高教园区西 ,近1号线(下沙江滨-湘湖)文泽路站
复地连城国际,3室2厅1厨1卫,89.75㎡,220,24513元/平米,南,余杭 乔司 ,
新城香悦奥府,3室2厅1厨2卫,87㎡,295,33909元/平米,南,萧山 萧山新城区 ,
碧云阁,2室2厅1厨2卫,72㎡,125,17362元/平米,南 北,余杭 临平 ,
滨康小区,3室2厅1厨1卫,101.93㎡,300,29432元/平米,南,滨江 长河 ,
景丽华庭,3室2厅1厨1卫,114㎡,182,15965元/平米,南,余杭 塘栖 ,
理想康城国际,3室2厅1厨2卫,139㎡,325,23382元/平米,南,余杭 临平 ,
彩虹城,4室2厅1厨2卫,173㎡,828,47862元/平米,南,滨江 彩虹城 ,近地铁4号线联庄站
天寓,3室2厅1厨2卫,139.74㎡,580,41506元/平米,南 北,滨江 彩虹城 ,近地铁4号线联庄站
万科未来城二期,3室2厅1厨2卫,89.63㎡,305,34029元/平米,南,余杭 良渚 ,
东湖中路175号,3室1厅1厨1卫,65.18㎡,143,21940元/平米,南,余杭 临平 ,
南都江滨花园,3室2厅1厨2卫,119.63㎡,570,47647元/平米,南 北,滨江 彩虹城 ,近地铁4号线联庄站
万家星城,3室2厅1厨1卫,89.92㎡,370,41148元/平米,南,下城 三塘 ,
亲亲家园四期,4室2厅1厨2卫,166㎡,575,34639元/平米,东南,余杭 三墩 ,近地铁2号线墩祥街站
清水公寓,3室2厅1厨2卫,146.3㎡,680,46480元/平米,南,拱墅 德胜 ,
同和公寓,3室2厅1厨2卫,112㎡,290,25893元/平米,南,萧山 湘湖 ,
万科未来城二期,3室2厅1厨1卫,86.36㎡,280,32423元/平米,南,余杭 良渚 ,
滨江城市之星,3室2厅1厨3卫,180㎡,1350,75000元/平米,南 北,江干 钱江新城 ,近地铁4号线城星路站
金色海岸,3室2厅1厨2卫,209.96㎡,1580,75253元/平米,东南,上城 南星 ,近地铁4号线甬江路站
绿城西子紫兰公寓,3室2厅1厨2卫,143.05㎡,748,52290元/平米,南,拱墅 信义坊 ,
美好桂花金座,3室2厅1厨2卫,134.82㎡,265,19656元/平米,南,余杭 星桥 ,
彩虹城,3室2厅1厨2卫,128.49㎡,570,44362元/平米,南,滨江 彩虹城 ,近地铁4号线联庄站
邱山小区,3室1厅1厨1卫,74.14㎡,148,19963元/平米,南,余杭 临平 ,
日森大厦,3室2厅1厨1卫,106.66㎡,350,32815元/平米,南 北 西,拱墅 湖墅 ,
华艺星座,3室2厅1厨1卫,87.97㎡,190,21599元/平米,南,余杭 星桥 ,
滨江锦绣之城,4室2厅1厨2卫,130.34㎡,847,64984元/平米,南 北,拱墅 和睦 ,
华元欢乐城,4室2厅1厨2卫,138.85㎡,350,25208元/平米,南 西,余杭 临平 ,近1号线(临平-湘湖)南苑站
钱塘梧桐蓝山,3室1厅1厨2卫,89.27㎡,240,26885元/平米,南,余杭 临平 ,
曙光路121号,3室1厅1厨1卫,73.88㎡,440,59557元/平米,南 北,西湖 黄龙 ,
塘河北村,3室1厅1厨1卫,81.39㎡,275,33788元/平米,南,拱墅 信义坊 ,
宋都晨光国际,3室2厅1厨2卫,89㎡,345,38765元/平米,南,钱塘新区 沿江南 ,近1号线(下沙江滨-湘湖)下沙江滨站
南北西岸,2室2厅1厨1卫,88.89㎡,375,42187元/平米,南,拱墅 桥西 ,
复兴北苑,2室1厅1厨1卫,47.91㎡,218,45502元/平米,南,上城 复兴 ,近地铁4号线复兴路站
西溪永乐城,1室1厅1厨1卫,51.1㎡,108,21136元/平米,南,余杭 未来科技城 ,
欣北钱江国际广场,1室1厅1厨1卫,33.71㎡,31,9197元/平米,北,余杭 塘栖 ,
昆仑华府,3室2厅1厨2卫,119.16㎡,298,25009元/平米,南 北,余杭 良渚 ,
闲林山水海棠苑,2室2厅1厨1卫,100.48㎡,226,22493元/平米,南 北,余杭 闲林 ,
万科未来城二期,4室2厅1厨2卫,118.71㎡,352,29653元/平米,南,余杭 良渚 ,
浙新小区,1室1厅1厨1卫,55.5㎡,225,40539元/平米,南,滨江 浦沿 ,近地铁4号线杨家墩站
金狮苑,1室1厅1厨1卫,27.83㎡,115,41323元/平米,南,上城 鼓楼 ,
嘉凯城名城博园,3室2厅1厨2卫,88.18㎡,213,24156元/平米,南,余杭 勾庄 ,
嘉凯城名城博园,3室2厅1厨1卫,89㎡,215,24158元/平米,南,余杭 勾庄 ,
越秀星汇城,2室2厅1厨1卫,77.11㎡,129,16730元/平米,南,临安 临安 ,
世茂江滨商业中心,1室1厅1厨1卫,46.6㎡,70,15022元/平米,南,钱塘新区 沿江南 ,近1号线(下沙江滨-湘湖)下沙江滨站
翠紫苑,2室2厅1厨1卫,84㎡,132,15715元/平米,南,临安 临安 ,
城北商贸园,2室1厅1厨1卫,53.16㎡,175,32920元/平米,南,西湖 申花 ,近地铁2号线虾龙圩站
宝嘉誉府,4室2厅1厨2卫,89.58㎡,320,35723元/平米,南,西湖 申花 ,近地铁2号线三墩站
中国铁建西湖国际城,3室2厅1厨2卫,89㎡,289,32472元/平米,南,西湖 良渚 ,
安乐路,3室1厅1厨1卫,80.59㎡,160,19854元/平米,南,余杭 未来科技城 ,
圆乡名筑,3室2厅1厨1卫,87.55㎡,245,27985元/平米,南,余杭 未来科技城 ,
藕花洲大街456号,1室1厅1厨1卫,43.21㎡,78,18052元/平米,南,余杭 临平 ,
塘河南村,1室1厅1厨1卫,39.04㎡,140,35861元/平米,南,拱墅 信义坊 ,
景芳新五区,1室1厅1厨1卫,41.5㎡,175,42169元/平米,南,江干 景芳 ,近地铁4号线景芳站
阳光城文澜府,3室2厅1厨2卫,109.12㎡,545,49946元/平米,南,拱墅 拱宸桥 ,
晨光绿苑南苑,2室2厅1厨1卫,84.56㎡,260,30748元/平米,南,江干 九堡 ,近1号线(临平-湘湖)九堡站
华天苑,2室1厅1厨1卫,63㎡,168,26667元/平米,南 北,江干 丁桥 ,
钱江新村二区,2室1厅1厨1卫,58.71㎡,164,27934元/平米,南,萧山 钱江世纪城 ,
罗峰新村,2室1厅1厨1卫,56.5㎡,120,21239元/平米,南,萧山 义桥 ,
贝利栖溪望府,2室2厅1厨1卫,92㎡,170,18479元/平米,南,余杭 塘栖 ,
锦昌文华苑,3室2厅1厨1卫,115.51㎡,550,47615元/平米,南,拱墅 拱宸桥 ,
东厦东港花苑,2室1厅1厨1卫,86.43㎡,200,23141元/平米,南,余杭 临平 ,
新桥路29号,2室2厅1厨1卫,60.41㎡,125,20692元/平米,南,余杭 未来科技城 ,
新城龙湖湾上风华,3室2厅1厨2卫,87.29㎡,189,21652元/平米,南,江干 丁桥 ,
玖玖国际财富中心,2室1厅1厨2卫,56.16㎡,85,15136元/平米,东南,余杭 临平 ,
宋都东郡之星,2室2厅1厨1卫,68㎡,173,25442元/平米,南,钱塘新区 大学城北 ,
万科缦云坊,3室2厅1厨2卫,87.53㎡,215,24564元/平米,南,余杭 良渚 ,
中海紫藤苑,2室2厅1厨1卫,89㎡,335,37641元/平米,南,西湖 三墩 ,
广厦天都城天河苑,1室1厅1厨1卫,26.58㎡,65,24455元/平米,南,余杭 星桥 ,
金地自在城,3室1厅1厨2卫,88.22㎡,316,35820元/平米,南,西湖 三墩 ,近地铁2号线金家渡站
奇景家苑,4室2厅1厨2卫,84.14㎡,220,26147元/平米,南,萧山 闻堰 ,
朗郡庭园,2室1厅1厨1卫,83㎡,350,42169元/平米,南,西湖 转塘 ,
朗诗未来街区东园,2室2厅1厨1卫,69.59㎡,200,28740元/平米,南,余杭 乔司 ,近1号线(临平-湘湖)翁梅站
同方国际,1室1厅1厨1卫,49.6㎡,107,21573元/平米,南,江干 华家池 ,近地铁4号线新塘站
嘉绿西苑,2室1厅1厨1卫,85.47㎡,420,49141元/平米,南,西湖 嘉绿 ,近地铁2号线丰潭路站
大园新城,2室2厅1厨1卫,100.69㎡,137,13607元/平米,南,临安 临安 ,
双牛大厦,1室1厅1厨1卫,53.54㎡,138,25776元/平米,南,下城 潮鸣 ,近地铁2号线建国北路站
邮电路16-38号,2室1厅1厨1卫,69.49㎡,429,61736元/平米,南,上城 湖滨 ,近1号线(临平-湘湖)龙翔桥站
中海钱塘山水,3室2厅1厨1卫,88.51㎡,410,46323元/平米,南 北,滨江 浦沿 ,
凤起都市花园,1室1厅1厨1卫,44.54㎡,187,41985元/平米,西,下城 长庆 ,近地铁2号线建国北路站
东厦东港花苑,3室2厅1厨2卫,134.5㎡,256,19034元/平米,南,余杭 临平 ,
天元公寓,2室1厅1厨1卫,99.8㎡,195,19540元/平米,南,钱塘新区 工业园南 ,
中天官河锦庭,2室1厅1厨1卫,72.78㎡,332,45617元/平米,南,滨江 西兴 ,
得力新和人家,3室2厅1厨2卫,128.6㎡,255,19829元/平米,南,萧山 萧山开发区 ,
宋都丽郡国际,3室2厅1厨2卫,89.58㎡,192,21434元/平米,南,钱塘新区 大江东 ,
金色黎明二期,3室2厅1厨1卫,89.79㎡,365,40651元/平米,东南 北,江干 笕桥 ,
翡翠城二期,2室1厅1厨1卫,85.55㎡,285,33314元/平米,南,余杭 翡翠城 ,
顺发和美家,3室2厅1厨2卫,173㎡,668,38613元/平米,南,萧山 钱江世纪城 ,近地铁2号线飞虹路站
龙湖滟澜山澜轩,2室1厅1厨1卫,59.97㎡,218,36352元/平米,西,钱塘新区 金沙湖 ,近1号线(下沙江滨-湘湖)金沙湖站
万科良渚文化村未来城,3室2厅1厨1卫,88.89㎡,294,33075元/平米,南,余杭 良渚 ,
方正御星,2室2厅1厨1卫,103.57㎡,455,43932元/平米,南,拱墅 万达广场 ,
东田擎天半岛,3室2厅1厨1卫,88.07㎡,220,24981元/平米,南 北,余杭 星桥 ,
盛元慧谷,3室2厅1厨2卫,158㎡,680,43038元/平米,南,滨江 彩虹城 ,
万科魅力之城,2室2厅1厨1卫,89㎡,278,31236元/平米,南,江干 九堡 ,
保利江语海,3室1厅1厨1卫,85.34㎡,300,35154元/平米,南,钱塘新区 高教园区东 ,近1号线(下沙江滨-湘湖)云水站
越秀星汇悦城,3室2厅1厨2卫,88㎡,263,29887元/平米,南,余杭 良渚 ,
邮电路16-38号,2室1厅1厨1卫,48.83㎡,350,71678元/平米,南 北,上城 湖滨 ,近1号线(临平-湘湖)龙翔桥站
中海西溪华府,3室2厅1厨1卫,86.55㎡,430,49683元/平米,南,西湖 西溪 ,
金地自在城悦活轩,3室1厅1厨2卫,88.5㎡,310,35029元/平米,南,西湖 三墩 ,近地铁2号线金家渡站
新明半岛,2室2厅1厨1卫,89㎡,220,24720元/平米,南 北,余杭 闲林 ,
北秀蓝湾花苑,3室2厅1厨2卫,119.97㎡,258,21506元/平米,南,余杭 良渚 ,
金地自在城求学里,3室1厅1厨1卫,89㎡,360,40450元/平米,南,西湖 三墩 ,近地铁2号线金家渡站
华兴公寓,3室2厅1厨2卫,121.2㎡,185,15265元/平米,南,余杭 瓶窑 ,
北辰奥园,3室1厅1厨2卫,87.7㎡,266,30331元/平米,南,萧山 南部卧城 ,
万盛商贸城公寓,2室1厅1厨1卫,38.72㎡,53,13689元/平米,西南,余杭 塘栖 ,
金都夏宫,1室1厅1厨1卫,47.36㎡,118,24916元/平米,南,余杭 临平 ,
大华海派风范,4室2厅1厨2卫,89㎡,305,34270元/平米,南,余杭 未来科技城 ,
杭州碧桂园,3室1厅1厨1卫,88.86㎡,225,25321元/平米,南 北,钱塘新区 大学城北 ,
